Bairro,Número de Homicidios ,População Total,Pop. Homens,Pop. Mulheres,Média de moradores por domicílio,Razão de Dependência
AEROLANDIA,17,"11,360","5,365","5,995",3.45,39.94
AEROPORTO,2,"8,618","4,160","4,458",3.61,45.62
JOSE DE ALENCAR,20,"16,003","7,652","8,351",3.5,37.49
ALDEOTA,8,"42,361","17,980","24,381",3.08,34.11
ALTO DA BALANCA,10,"12,814","5,930","6,884",3.39,43.32
ALVARO WEYNE,21,"23,690","10,834","12,856",3.52,41.70
AMADEU FURTADO,0,"11,703","5,211","6,492",3.46,40.21
ANCURI,18,"20,070","9,823","10,247",3.42,44.98
ANTONIO BEZERRA,16,"25,846","11,902","13,944",3.44,39.89
AUTRAN NUNES,18,"21,208","10,281","10,927",3.78,46.93
DE LOURDES,0,"3,370","1,561","1,809",3.51,33.47
BARRA DO CEARA,70,"72,423","34,658","37,765",3.56,42.98
BARROSO,45,"29,847","14,359","15,488",3.58,47.38
BELA VISTA,17,16754,7767,8987,3.4,40.19
BENFICA,2,"12,954","5,532","7,422",3.05,30.49
BOM FUTURO,0,"6,405","2,747","3,658",3.25,38.01
BOM JARDIM,53,"37,758","18,180","19,578",3.6,46.29
BONSUCESSO,25,"41,198","19,336","21,862",3.5,42.91
CAIS DO PORTO,19,"22,382","10,867","11,515",3.54,45.54
CAJAZEIRAS,11,"14,478","6,821","7,657",3.27,39.84
CAMBEBA,4,"7,625","3,596","4,029",3.54,33.96
CANINDEZINHO,29,"41,202","20,127","21,075",3.57,47.01
CARLITO PAMPLONA,17,"29,076","13,596","15,480",3.49,41.81
CASTELAO,7,"28,538","12,973","15,565",2.89,35.89
CENTRO,30,"8,272","3,576","4,696",3.15,36.86
CIDADE 2000,5,"18,256","8,256","10,000",3.4,33.63
CIDADE DOS FUNCIONARIOS,9,"7,188","3,441","3,747",3.53,40.69
COACU,0,"20,492","9,135","11,357",3.18,32.80
COCO,1,"19,221","8,850","10,371",3.51,36.18
CONJUNTO CEARA I,7,"23,673","10,998","12,675",3.51,35.66
CONJUNTO CEARA II,6,"16,405","7,714","8,691",3.45,38.47
CONJUNTO ESPERANCA,15,"36,599","17,807","18,792",4.02,45.29
CONJUNTO PALMEIRAS,46,"5,260","2,467","2,793",3.38,43.25
COUTO FERNANDES,4,"26,717","12,639","14,078",3.68,46.58
CRISTO REDENTOR,17,"28,538","12,973","15,565",2.89,35.89
CURIO,11,"7,636","3,761","3,875",3.64,36.89
DAMAS,2,"10,719","4,697","6,022",3.04,34.00
DEMOCRITO ROCHA,5,"10,994","5,040","5,954",3.36,39.57
DENDE,5,"5,637","2,815","2,822",3.29,38.09
DIAS MACEDO,10,"12,111","5,747","6,364",3.46,40.76
DIONISIO TORRES,3,"15,634","6,624","9,010",3.22,34.27
DOM LUSTOSA,4,"13,147","6,109","7,038",3.43,41.53
MANUEL DIAS BRANCO,3,"1,447",679,768,3.27,40.49
EDSON QUEIROZ,24,"22,210","10,586","11,624",3.76,33.75
VILA ELLERY,6,"7,863","3,544","4,319",3.43,39.41
ENG LUCIANO CAVALCANTE,1,"15,543","7,143","8,400",3.46,38.12
FARIAS BRITO,1,"12,063","5,400","6,663",3.33,37.22
FATIMA,7,"23,309","10,091","13,218",3.19,31.68
FLORESTA,10,"28,896","13,677","15,219",3.49,46.04
GENIBAU,37,"40,336","19,531","20,805",3.55,45.72
GENTILANDIA,0,,,,,
GRANJA LISBOA,32,"52,042","25,360","26,682",3.61,47.26
GRANJA PORTUGAL,26,"39,651","19,172","20,479",3.67,50.23
GUAJERU,0,"6,668","3,085","3,583",3.59,38.37
PATRIOLINO RIBEIRO,2,,,,,
HENRIQUE JORGE,6,"26,994","12,606","14,388",3.45,40.41
ITAOCA,10,"12,477","5,602","6,875",3.34,38.97
ITAPERI,8,"22,563","10,487","12,076",3.2,35.78
JACARECANGA,11,"14,204","6,472","7,732",3.34,42.81
JANGURUSSU,57,"50,479","24,217","26,262",3.54,42.19
JARDIM AMERICA,8,"12,264","5,455","6,809",3.38,39.27
JARDIM CEARENSE,1,"10,103","4,771","5,332",3.46,36.82
JARDIM DAS OLIVEIRAS,31,"29,571","14,024","15,547",3.56,43.43
JARDIM GUANABARA,6,"14,919","6,937","7,982",3.48,41.14
JARDIM IRACEMA,29,"23,184","10,968","12,216",3.52,42.27
JOAO XXIII,10,"18,398","8,661","9,737",3.5,41.69
JOAQUIM TAVORA,4,"23,450","10,107","13,343",3.15,35.68
JOQUEI CLUBE,7,"19,331","8,867","10,464",3.4,37.52
JOSE BONIFACIO,3,"8,848","3,842","5,006",3.11,37.16
LAGOA REDONDA,13,"27,949","13,356","14,593",3.5,43.83
MARAPONGA,12,"10,155","4,720","5,435",3.31,37.17
BOA VISTA,1,"12,247","5,869","6,378",3.42,43.51
MEIRELES,2,"36,982","16,171","20,811",2.91,33.60
MESSEJANA,46,"41,689","19,277","22,412",3.41,38.02
MONDUBIM,47,"76,044","36,555","39,489",3.44,42.97
MONTE CASTELO,12,"13,215","6,118","7,097",3.44,39.28
MONTESE,4,"25,970","11,524","14,446",3.26,38.59
MOURA BRASIL,6,,,,,
MUCURIPE,10,"13,747","6,239","7,508",3.09,36.19
PADRE ANDRADE,6,"12,936","5,912","7,024",3.41,40.14
PANAMERICANO,7,"8,815","4,065","4,750",3.41,41.27
PAPICU,11,"18,370","8,584","9,786",3.3,37.15
PARANGABA,11,"30,947","14,271","16,676",3.33,36.61
